"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"10876",1438466119,0.191553,521888488,0,0,2015-08-01 21:55:19,"li28_31",0.367673,0.138967,0.228347,0.230963859550562,900,0.15,15,"aug_2015"
"11054",1438467024,0.236653,369435772,0,0,2015-08-01 22:10:24,"li28_31",0.412244,0.138967,0.224078,0.234606670588235,900,0.15,15,"aug_2015"
"11224",1438467929,0.359708,219153212,0,0,2015-08-01 22:25:29,"li28_31",0.385619,0.14575,0.224078,0.228980966101695,900,0.15,15,"aug_2015"
"11401",1438468834,0.240698,76303602,0,0,2015-08-01 22:40:34,"li28_31",0.428326,0.164428,0.230442,0.234727775862069,899,0.15,15,"aug_2015"
"11575",1438469738,0.170199,906141097,0,0,2015-08-01 22:55:38,"li28_31",0.372888,0.158447,0.236653,0.239108247126437,900,0.15,15,"aug_2015"
"11749",1438470643,0.270897,751103913,0,0,2015-08-01 23:10:43,"li28_31",0.375469,0.158447,0.234595,0.237977241573034,900,0.15,15,"aug_2015"
"11927",1438471548,0.259984,598159218,0,0,2015-08-01 23:25:48,"li28_31",0.423793,0.131836,0.236653,0.242241128654971,900,0.15,15,"aug_2015"
"12098",1438472453,0.219727,432222294,0,0,2015-08-01 23:40:53,"li28_31",0.419212,0.158447,0.236653,0.242891167630058,900,0.15,15,"aug_2015"
"12271",1438473358,0.248592,282171428,0,0,2015-08-01 23:55:58,"li28_31",0.430574,0.14575,0.244677,0.250897479532164,900,0.15,15,"aug_2015"
"12443",1438474268,0.284798,120853262,0,0,2015-08-02 00:11:08,"li28_31",0.33178,0.158447,0.232537,0.232207970588235,899,0.15,15,"aug_2015"
"12613",1438475172,0.210754,960986612,0,0,2015-08-02 00:26:12,"li28_31",0.348805,0.14575,0.219727,0.222207448275862,900,0.15,15,"aug_2015"
"12787",1438476077,0.186444,822005384,0,0,2015-08-02 00:41:17,"li28_31",0.328857,0.152231,0.232537,0.229102017045455,900,0.15,15,"aug_2015"
"12963",1438476992,0.201383,645203182,0,0,2015-08-02 00:56:32,"li28_31",0.343224,0.158447,0.236653,0.23476775,900,0.15,15,"aug_2015"
"13139",1438477902,0.210754,487835745,0,0,2015-08-02 01:11:42,"li28_31",3.498,0.116268,0.232537,0.252747826589595,900,0.15,15,"aug_2015"
"13312",1438478807,0.270897,329395504,0,0,2015-08-02 01:26:47,"li28_31",0.328857,0.131836,0.228347,0.226908188235294,900,0.15,15,"aug_2015"
"13482",1438479712,0.236653,168399098,0,0,2015-08-02 01:41:52,"li28_31",0.340399,0.131836,0.224078,0.229549879310345,900,0.15,15,"aug_2015"
"13656",1438480617,0.181191,2757489,0,0,2015-08-02 01:56:57,"li28_31",0.307617,0.14575,0.224078,0.224180422857143,899,0.15,15,"aug_2015"
"13831",1438481521,0.228347,846904679,0,0,2015-08-02 02:12:01,"li28_31",0.319927,0.152231,0.215287,0.220497789772727,900,0.15,15,"aug_2015"
"14007",1438482426,0.252447,679849585,0,0,2015-08-02 02:27:06,"li28_31",0.325907,0.124296,0.219727,0.223813902298851,900,0.15,15,"aug_2015"
"14181",1438483331,0.274438,521702975,0,0,2015-08-02 02:42:11,"li28_31",0.325907,0.152231,0.219727,0.220239691011236,900,0.15,15,"aug_2015"
"14359",1438484236,0.270897,360597142,0,0,2015-08-02 02:57:16,"li28_31",0.348805,0.14575,0.224078,0.225803488764045,900,0.15,15,"aug_2015"
"14537",1438485141,0.267309,209782861,0,0,2015-08-02 03:12:21,"li28_31",0.316894,0.152231,0.219727,0.220682784883721,900,0.15,15,"aug_2015"
"14709",1438486046,0.191553,45449115,0,0,2015-08-02 03:27:26,"li28_31",0.325907,0.138967,0.210754,0.21539575,899,0.15,15,"aug_2015"
"14881",1438486950,0.215287,888555811,0,0,2015-08-02 03:42:30,"li28_31",0.483398,0.14575,0.230442,0.233124931034483,900,0.15,15,"aug_2015"
"15055",1438487855,0.281387,808366508,0,0,2015-08-02 03:57:35,"li28_31",0.581342,0.138967,0.236653,0.238389267045455,900,0.15,15,"aug_2015"
"15231",1438488760,0.206122,591111963,0,0,2015-08-02 04:12:40,"li28_31",0.307617,0.116268,0.219727,0.222257,900,0.15,15,"aug_2015"
"15401",1438489670,0.236653,434860148,0,0,2015-08-02 04:27:50,"li28_31",0.301274,0.138967,0.224078,0.220543074285714,900,0.15,15,"aug_2015"
"15576",1438490575,0.263672,276584606,0,0,2015-08-02 04:42:55,"li28_31",0.325907,0.152231,0.224078,0.223680473988439,900,0.15,15,"aug_2015"
"15749",1438491480,0.256243,124363871,0,0,2015-08-02 04:58:00,"li28_31",0.307617,0.131836,0.219727,0.218995569767442,899,0.15,15,"aug_2015"
"15921",1438492384,0.240698,968007959,0,0,2015-08-02 05:13:04,"li28_31",0.307617,0.14575,0.228347,0.226157477011494,900,0.15,15,"aug_2015"
"16095",1438493289,0.181191,811991899,0,0,2015-08-02 05:28:09,"li28_31",0.334678,0.124296,0.228347,0.22668225433526,900,0.15,15,"aug_2015"
"16268",1438494194,0.196529,655784470,0,0,2015-08-02 05:43:14,"li28_31",0.313832,0.14575,0.219727,0.222240790697674,900,0.15,15,"aug_2015"
"16440",1438495099,0.219727,495831006,0,0,2015-08-02 05:58:19,"li28_31",0.298052,0.158447,0.224078,0.223189760233918,900,0.15,15,"aug_2015"
"16611",1438496004,0.259984,335467853,0,0,2015-08-02 06:13:24,"li28_31",0.33755,0.138967,0.224078,0.224234227272727,900,0.15,15,"aug_2015"
"16787",1438496909,0.191553,176380462,0,0,2015-08-02 06:28:29,"li28_31",0.319927,0.14575,0.224078,0.224898730337079,900,0.15,15,"aug_2015"
"16965",1438497814,0.196529,12135935,0,0,2015-08-02 06:43:34,"li28_31",0.316894,0.138967,0.219727,0.222294431034483,899,0.15,15,"aug_2015"
"17139",1438498718,0.224078,859628338,0,0,2015-08-02 06:58:38,"li28_31",0.307617,0.152231,0.219727,0.222991277456647,900,0.15,15,"aug_2015"
"17312",1438499623,0.186444,828163461,0,0,2015-08-02 07:13:43,"li28_31",0.340399,0.14575,0.232537,0.232811300578035,900,0.15,15,"aug_2015"
"17485",1438500528,0.219727,540182791,0,0,2015-08-02 07:28:48,"li28_31",0.316894,0.131836,0.224078,0.223326057803468,900,0.15,15,"aug_2015"
"17658",1438501433,0.175781,382378989,0,0,2015-08-02 07:43:53,"li28_31",0.304462,0.164428,0.232537,0.232807727272727,895,0.15,15,"aug_2015"
"17834",1438502334,0.206122,269457171,0,0,2015-08-02 07:58:54,"li28_31",0.322931,0.138967,0.224078,0.226112196531792,899,0.15,15,"aug_2015"
"18007",1438503238,0.196529,80159653,0,0,2015-08-02 08:13:58,"li28_31",0.322931,0.124296,0.224078,0.226478346590909,899,0.15,15,"aug_2015"
"18183",1438504142,0.270897,919213962,0,0,2015-08-02 08:29:02,"li28_31",0.31074,0.124296,0.219727,0.221173312849162,900,0.15,15,"aug_2015"
"18362",1438505047,0.236653,764324183,0,0,2015-08-02 08:44:07,"li28_31",0.304462,0.131836,0.215287,0.215094596491228,900,0.15,15,"aug_2015"
"18533",1438505957,0.219727,605746883,0,0,2015-08-02 08:59:17,"li28_31",0.2915,0.152231,0.228347,0.224509104046243,900,0.15,15,"aug_2015"
"18706",1438506862,0.196529,445353878,0,0,2015-08-02 09:14:22,"li28_31",0.313832,0.152231,0.215287,0.218624556818182,900,0.15,15,"aug_2015"
"18882",1438507767,0.248592,287082894,0,0,2015-08-02 09:29:27,"li28_31",0.31074,0.138967,0.219727,0.218912847058824,900,0.15,15,"aug_2015"
"19052",1438508672,0.248592,139924202,0,0,2015-08-02 09:44:32,"li28_31",0.2915,0.138967,0.219727,0.217499508571429,899,0.15,15,"aug_2015"
"19227",1438509576,0.224078,975994246,0,0,2015-08-02 09:59:36,"li28_31",0.298052,0.124296,0.219727,0.222327547058824,900,0.15,15,"aug_2015"
"19397",1438510481,0.240698,820981518,0,0,2015-08-02 10:14:41,"li28_31",0.307617,0.116268,0.210754,0.210431017142857,900,0.15,15,"aug_2015"
"19573",1438511391,0.252447,660449826,0,0,2015-08-02 10:29:51,"li28_31",0.328857,0.14575,0.215287,0.214428813559322,900,0.15,15,"aug_2015"
"19750",1438512296,0.201383,498078805,0,0,2015-08-02 10:44:56,"li28_31",0.319927,0.138967,0.219727,0.219947936781609,900,0.15,15,"aug_2015"
"19924",1438513201,0.181191,346021172,0,0,2015-08-02 11:00:01,"li28_31",0.298052,0.107644,0.206122,0.208882097701149,900,0.15,15,"aug_2015"
"20098",1438514106,0.191553,189469468,0,0,2015-08-02 11:15:06,"li28_31",0.301274,0.14575,0.206122,0.20773136627907,895,0.15,15,"aug_2015"
"20270",1438515011,0.196529,90054326,0,0,2015-08-02 11:30:11,"li28_31",0.301274,0.152231,0.210754,0.211871748571429,899,0.15,15,"aug_2015"
